Сервис,Уровень,Аккаунтов,Стоимость без НДС,Стоимость 1 аккаунта,Минут,Период,Примечание,Итого стоимость с НДС с учетом количества аккаунтов,цена,Unnamed: 10,Unnamed: 11,Аккаунтов.1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Пользователей,Unnamed: 26,Уровень.1,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,цена1,Unnamed: 47,Unnamed: 48,Аккаунтов.2,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
Главный Бухгалтер ПРОФ,Эксперт,1.0,205.64,246.77,800,2025-10-01,,246.77,Период,Сервис,Уровень,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,(пусто),,,Период,Сервис,Минимальный,Оптимальный,Эксперт,Базовый,Оптимальный Плюс,(пусто),,Уровень,Сервис,Примечание,,,,,,,,,,Период,Сервис,Уровень,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,(пусто)
Главный Бухгалтер ПРОФ,Эксперт,2.0,171.63,205.96,800,2025-10-01,,411.91,2025-07-01 00:00:00,VIP Предприятие,Минимальный,64.36,58.94,53.96,49.49,45.3,41.51,37.37,33.62,30.26,27.54,,,,2025-07-01 00:00:00,VIP Предприятие,10,10,10,,,,,Базовый,Главный Бухгалтер ПРОФ,-,,,,,,,,,,2025-07-01 00:00:00,VIP Предприятие,Минимальный,53.63,49.12,44.97,41.24,37.75,34.59,31.14,28.02,25.22,22.95,
Главный Бухгалтер ПРОФ,Эксперт,3.0,134.33,161.2,800,2025-10-01,,483.59,,,Оптимальный,524.76,462.97,408.38,360.22,317.65,280.12,246.97,220.42,200.11,186.44,,,,,Главный Бухгалтер ПРОФ,,5,5,3,,,,Базовый,Комплекс коммерческий Главный Бухгалтер ПРОФ,-,,,,,,,,,,,,Оптимальный,437.3,385.81,340.32,300.18,264.71,233.43,205.81,183.68,166.76,155.37,
Главный Бухгалтер ПРОФ,Эксперт,4.0,116.77,140.12,800,2025-10-01,,560.5,,,Эксперт,845.88,747.98,661.4,584.82,517.02,456.96,403.96,361.42,328.8,307.12,,,,,Главный Бухгалтер ПРОФ (1 пользователь),,,1,,,,,Базовый,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,,Эксперт,704.9,623.32,551.17,487.35,430.85,380.8,336.63,301.18,274.0,255.93,
Главный Бухгалтер ПРОФ,Эксперт,5.0,101.13,121.36,800,2025-10-01,,606.78,,Главный Бухгалтер ПРОФ,Оптимальный,141.48,117.53,91.46,79.09,68.14,,,,,,,,,,Предприятие,5,10,10,,,,,Базовый,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,Главный Бухгалтер ПРОФ,Оптимальный,117.9,97.94,76.22,65.91,56.78,,,,,,
Главный Бухгалтер ПРОФ,Оптимальный,1.0,121.41,145.69,400,2025-10-01,,145.69,,,Эксперт,236.81,197.05,153.78,133.28,115.09,,,,,,,,,,Предприятие (1 пользователь),1,1,1,,,,,Базовый,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Эксперт,197.34,164.21,128.15,111.07,95.91,,,,,,
Главный Бухгалтер ПРОФ,Оптимальный,2.0,101.16,121.39,400,2025-10-01,,242.78,,,Базовый,37.09,34.02,33.72,,,,,,,,,,,,Предприятие ПРОФ,10,10,10,,,,,Базовый,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Базовый,30.91,28.35,28.1,,,,,,,,
Главный Бухгалтер ПРОФ,Оптимальный,3.0,78.95,94.74,400,2025-10-01,,284.22,,Предприятие,Минимальный,42.79,39.23,38.93,38.68,38.34,,,,,,,,,,Предприятие ПРОФ (1 пользователь),1,1,1,,,,,Минимальный,VIP Предприятие,-,,,,,,,,,,,Предприятие,Минимальный,35.66,32.69,32.44,32.23,31.95,,,,,,
Главный Бухгалтер ПРОФ,Оптимальный,4.0,68.48,82.18,400,2025-10-01,,328.7,,,Оптимальный,161.86,134.35,104.57,90.4,77.83,77.26,75.32,73.44,71.6,69.84,,,,,VIP Предприятие (1 пользователь),1,1,1,,,,,Минимальный,Предприятие,-,,,,,,,,,,,,Оптимальный,134.88,111.96,87.14,75.33,64.86,64.38,62.77,61.2,59.67,58.2,
Главный Бухгалтер ПРОФ,Оптимальный,5.0,59.16,70.99,400,2025-10-01,,354.96,,,Эксперт,291.25,242.44,189.16,163.91,141.52,140.42,136.94,133.49,130.15,126.9,,,,,Доппакет НМВ,,,,,,,,Минимальный,Предприятие (1 пользователь),-,,,,,,,,,,,,Эксперт,242.71,202.03,157.63,136.59,117.93,117.02,114.12,111.24,108.46,105.75,
Главный Бухгалтер ПРОФ,Базовый,1.0,31.55,37.86,60,2025-10-01,,37.86,,Предприятие ПРОФ,Минимальный,55.38,50.75,46.51,42.54,38.99,35.74,32.15,28.91,26.05,23.74,,,,,Доппакет НОВ,,,,,,,,Минимальный,Предприятие ПРОФ,-,,,,,,,,,,,Предприятие ПРОФ,Минимальный,46.15,42.29,38.76,35.45,32.49,29.78,26.79,24.09,21.71,19.78,
Главный Бухгалтер ПРОФ,Базовый,2.0,29.02,34.82,60,2025-10-01,,69.65,,,Оптимальный,318.83,264.68,206.04,178.22,153.48,135.32,119.26,106.46,96.66,90.05,,,,,Доппакет МВ Комплекс,,,,,,,,Минимальный,Предприятие ПРОФ (1 пользователь),-,,,,,,,,,,,,Оптимальный,265.69,220.57,171.7,148.52,127.9,112.77,99.38,88.72,80.55,75.04,
Главный Бухгалтер ПРОФ,Базовый,3.0,28.86,34.63,60,2025-10-01,,103.9,,,Эксперт,669.77,557.52,434.92,377.05,325.45,287.74,254.23,227.44,207.08,193.48,,,,,Доппакет ОВ Комплекс,,,,,,,,Минимальный,VIP Предприятие (1 пользователь),-,,,,,,,,,,,,Эксперт,558.14,464.6,362.43,314.21,271.21,239.78,211.86,189.53,172.57,161.23,
Предприятие,Эксперт,1.0,254.42,305.3,800,2025-10-01,,305.3,,Предприятие (1 пользователь),Минимальный,99.37,,,,,,,,,,,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ,,5,5,3,,,,Минимальный,Комплекс коммерческий Предприятие,-,,,,,,,,,,,Предприятие (1 пользователь),Минимальный,82.81,,,,,,,,,,
Предприятие,Эксперт,2.0,212.4,254.88,800,2025-10-01,,509.76,,,Оптимальный,235.28,,,,,,,,,,,,,,Комплекс коммерческий Предприятие,5,10,10,,,,,Минимальный,Комплекс коммерческий Предприятие ПРОФ,-,,,,,,,,,,,,Оптимальный,196.07,,,,,,,,,,
Предприятие,Эксперт,3.0,166.21,199.45,800,2025-10-01,,598.36,,,Эксперт,593.22,,,,,,,,,,,,,,Комплекс коммерческий Предприятие ПРОФ,10,10,10,,,,,Минимальный,Комплекс коммерческий VIP Предприятие,-,,,,,,,,,,,,Эксперт,494.35,,,,,,,,,,
Предприятие,Эксперт,4.0,144.45,173.34,800,2025-10-01,,693.36,,Предприятие ПРОФ (1 пользователь),Минимальный,176.87,,,,,,,,,,,,,,Комплекс коммерческий VIP Предприятие,10,10,10,,,,,Минимальный,Комплекс коммерческий Предприятие (1 пользователь),-,,,,,,,,,,,Предприятие ПРОФ (1 пользователь),Минимальный,147.39,,,,,,,,,,
Предприятие,Эксперт,5.0,125.08,150.1,800,2025-10-01,,750.48,,,Оптимальный,419.18,,,,,,,,,,,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),,,1,,,,,Минимальный,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),-,,,,,,,,,,,,Оптимальный,349.32,,,,,,,,,,
Предприятие,Эксперт,6.0,124.49,149.39,800,2025-10-01,,896.33,,,Эксперт,1083.06,,,,,,,,,,,,,,Комплекс коммерческий Предприятие (1 пользователь),1,1,1,,,,,Минимальный,Комплекс коммерческий VIP Предприятие (1 пользователь),-,,,,,,,,,,,,Эксперт,902.55,,,,,,,,,,
Предприятие,Эксперт,7.0,121.39,145.67,800,2025-10-01,,1019.68,,Главный Бухгалтер ПРОФ (1 пользователь),Эксперт,468.0,,,,,,,,,,,,,,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),1,1,1,,,,,Оптимальный,VIP Предприятие,-,,,,,,,,,,,Главный Бухгалтер ПРОФ (1 пользователь),Эксперт,390.0,,,,,,,,,,
Предприятие,Эксперт,8.0,118.33,142.0,800,2025-10-01,,1135.97,,VIP Предприятие (1 пользователь),Минимальный,374.87,,,,,,,,,,,,,,Комплекс коммерческий VIP Предприятие (1 пользователь),1,1,1,,,,,Оптимальный,Главный Бухгалтер ПРОФ,-,,,,,,,,,,,VIP Предприятие (1 пользователь),Минимальный,312.39,,,,,,,,,,
Предприятие,Эксперт,9.0,115.38,138.46,800,2025-10-01,,1246.1,,,Оптимальный,857.42,,,,,,,,,,,,,,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",,1,1,1,1,,,Оптимальный,Предприятие,-,,,,,,,,,,,,Оптимальный,714.52,,,,,,,,,,
