Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,Сервис,Минимальный,Оптимальный,Эксперт,Базовый,Оптимальный Плюс,,,Главный Бухгалтер ПРОФ (1 пользователь),Главный Бухгалтер ПРОФ,,,,,,,,,,
,Предприятие ПРОФ,60,400,800,,-,,,Главный Бухгалтер ПРОФ,Главный Бухгалтер ПРОФ,,,,,,,,,,
,Предприятие,60,400,800,,-,,,Предприятие (1 пользователь),Предприятие,,,,,,,,,,
,Главный Бухгалтер ПРОФ,,400,800,60,-,,,Предприятие,Предприятие,,,,,,,,,,
,Предприятие (1 пользователь),60,400,800,,-,,,Предприятие ПРОФ (1 пользователь),Предприятие ПРОФ,,,,,,,,,,
,Предприятие ПРОФ (1 пользователь),60,400,800,,-,,,Предприятие ПРОФ,Предприятие ПРОФ,,,,,,,,,,
,Главный Бухгалтер ПРОФ (1 пользователь),,,800,,-,,,VIP Предприятие (1 пользователь),VIP Предприятие,,,,,,,,,,
,VIP Предприятие,60,400,800,,-,,,VIP Предприятие,VIP Предприятие,,,,,,,,,,
,VIP Предприятие (1 пользователь),60,400,800,,-,,,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),Комплекс коммерческий Главный Бухгалтер ПРОФ,,,,,,,,,,
,Комплекс коммерческий Главный Бухгалтер ПРОФ,,400,800,60,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ,Комплекс коммерческий Главный Бухгалтер ПРОФ,,,,,,,,,,
,Комплекс коммерческий Предприятие,60,400,800,,,,,Комплекс коммерческий Предприятие (1 пользователь),Комплекс коммерческий Предприятие,,,,,,,,,,
,Комплекс коммерческий Предприятие ПРОФ,60,400,800,,,,,Комплекс коммерческий Предприятие,Комплекс коммерческий Предприятие,,,,,,,,,,
,Комплекс коммерческий VIP Предприятие,60,400,800,,,,,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),Комплекс коммерческий Предприятие ПРОФ,,,,,,,,,,
,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),,,800,,,,,Комплекс коммерческий Предприятие ПРОФ,Комплекс коммерческий Предприятие ПРОФ,,,,,,,,,,
,Комплекс коммерческий Предприятие (1 пользователь),60,400,800,,,,,Комплекс коммерческий VIP Предприятие (1 пользователь),Комплекс коммерческий VIP Предприятие,,,,,,,,,,
,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),60,400,800,,,,,Комплекс коммерческий VIP Предприятие,Комплекс коммерческий VIP Предприятие,,,,,,,,,,
,Комплекс коммерческий VIP Предприятие (1 пользователь),60,400,800,,,,,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)","Главный Бухгалтер (ИПС ilex, podpis.by)",,,,,,,,,,
,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",,300,600,60,300 / 600,,,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)","Главный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",,,,,,,,,,
,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",,300,600,60,300 / 600,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)","Главный Бухгалтер ПРОФ (ИПС ilex, podpis.by)",,,,,,,,,,
